file,line,tags,names,candidate_schwab_fields,code
call_engine.py,499,,gamma,chains.callExpDateMap.*.gamma|chains.putExpDateMap.*.gamma,"from similar historical setups). Structural levels (gamma walls, OI walls,"
call_engine.py,503,,gamma,chains.callExpDateMap.*.gamma|chains.putExpDateMap.*.gamma,This prevents the old bug where the call gamma wall at 595 becomes the
call_engine.py,590,,high,pricehistory.candles.*.high,"if conviction == ""high"":   return ""medium"""
call_engine.py,591,,low,pricehistory.candles.*.low,"if conviction == ""medium"": return ""low"""
call_engine.py,592,,low,pricehistory.candles.*.low,"return ""low"""
call_engine.py,598,,high|low,pricehistory.candles.*.high|pricehistory.candles.*.low,"_CONV_ORDER = {""low"": 0, ""medium"": 1, ""high"": 2}"
call_engine.py,613,,low,pricehistory.candles.*.low,"return ""low"""
call_engine.py,614,,low,pricehistory.candles.*.low,"c = str(getattr(canonical, ""confidence"", ""low"") or ""low"").strip().lower()"
call_engine.py,616,,low,pricehistory.candles.*.low,"c = ""low"""
call_engine.py,624,,high,pricehistory.candles.*.high,"if c == ""high"":"
call_engine.py,635,,low,pricehistory.candles.*.low,"return ""low"""
call_engine.py,641,,close,chains.underlying.close|pricehistory.candles.*.close,"return ""No new positions — too close to close."""
call_engine.py,644,,high,pricehistory.candles.*.high,"elif conviction == ""high"":"
call_engine.py,645,,high,pricehistory.candles.*.high,"base = ""Full size appropriate — high conviction setup."""
call_engine.py,649,,low,pricehistory.candles.*.low,"base = ""Small size or skip — low conviction. Wait for better setup."""
call_engine.py,675,,low,pricehistory.candles.*.low,"regime_confidence: str = ""low"","
call_engine.py,688,,low,pricehistory.candles.*.low,"fusion_confidence: str = ""low"","
call_engine.py,726,,high,pricehistory.candles.*.high,"if conviction == ""high"" and confluence_count >= 3:"
call_engine.py,728,,high,pricehistory.candles.*.high,"elif conviction == ""high"":"
call_engine.py,732,,low,pricehistory.candles.*.low,"elif conviction == ""low"":"
call_engine.py,734,,low,pricehistory.candles.*.low,"reasons.append(""low conviction"")"
call_engine.py,737,,low,pricehistory.candles.*.low,"reasons.append(""very low conviction"")"
call_engine.py,748,,high,pricehistory.candles.*.high,"if fusion_confidence == ""high"" and conf_mult < 1.0:"
call_engine.py,766,,high,pricehistory.candles.*.high,"if regime_confidence == ""high"" and regime_mult < 1.0:"
call_engine.py,768,,low,pricehistory.candles.*.low,"elif regime_confidence == ""low"":"
call_engine.py,770,,low,pricehistory.candles.*.low,"reasons.append(""low regime confidence"")"
call_engine.py,853,,low,pricehistory.candles.*.low,"reasons.append(""MC EFE too low for target"")"
call_engine.py,888,,close,chains.underlying.close|pricehistory.candles.*.close,"reasons.append(f""{int(mins_to_close)}min to close"")"
call_engine.py,891,,close,chains.underlying.close|pricehistory.candles.*.close,"reasons.append(f""{int(mins_to_close)}min to close"")"
call_engine.py,941,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"""volatility"": round(vol_mult, 2),"
call_engine.py,998,DEFAULT_ZERO_OR,spot,,spot = inp.spot or 0
call_engine.py,1051,,low,pricehistory.candles.*.low,"if canonical and str(canonical.confidence or """").lower() not in (""low"", """"):"
call_engine.py,1067,,high,pricehistory.candles.*.high,"prob_fails.append(f""fusion reversal posterior {reversal_p:.0%} — high reversal risk for longs"")"
call_engine.py,1115,,vix|volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"risk_fails.append(f""VIX at {vix:.1f} — extreme volatility, reduced reliability"")"
call_engine.py,1189,,low,pricehistory.candles.*.low,"confidence=""low"","
call_engine.py,1205,DEFAULT_ONE_OR,,,"_vol_conv_mult = getattr(vol_regime, 'conviction_multiplier', 1.0) or 1.0"
call_engine.py,1206,DEFAULT_ONE_OR,,,"_vol_risk_mult = getattr(vol_regime, 'risk_multiplier', 1.0) or 1.0"
call_engine.py,1207,DEFAULT_ZERO_OR,,,"_vol_breakout_bias  = getattr(vol_regime, 'breakout_bias', 0.6) or 0.6"
call_engine.py,1208,DEFAULT_ZERO_OR,,,"_vol_reversal_bias  = getattr(vol_regime, 'reversal_bias', 0.5) or 0.5"
call_engine.py,1240,DEFAULT_ZERO_OR,,,nd = inp.net_delta or 0.0
call_engine.py,1268,,high,pricehistory.candles.*.high,"if _evt in (""elevated"", ""high""):"
call_engine.py,1349,DEFAULT_ZERO_OR,,,zone_fresh_bars_1m  = (inp.zone_since_bars_1m or inp.zone_since_bars) or 0   # execution timing
call_engine.py,1350,DEFAULT_ZERO_OR,,,zone_stable_bars_5m = (inp.zone_since_bars_5m or 0)                          # structure persistence
call_engine.py,1354,,low,pricehistory.candles.*.low,"conviction = ""low"""
call_engine.py,1365,,high,pricehistory.candles.*.high,"if _evt == ""high"" and final_signal != ""wait"":"
call_engine.py,1385,,low,pricehistory.candles.*.low,"conviction = ""low"""
call_engine.py,1404,,low,pricehistory.candles.*.low,"conviction = ""low"""
call_engine.py,1411,,low,pricehistory.candles.*.low,"conviction = ""low"""
call_engine.py,1438,,low,pricehistory.candles.*.low,"conviction = ""low"""
call_engine.py,1514,,low,pricehistory.candles.*.low,"regime_confidence=getattr(regime, 'confidence', 'low') if regime else 'low',"
call_engine.py,1524,,low,pricehistory.candles.*.low,"fusion_confidence=getattr(fusion, 'fusion_confidence', 'low') if _fusion_available else 'low',"
call_engine.py,1548,,close,chains.underlying.close|pricehistory.candles.*.close,"time_warning = f""🛑 Only {int(inp.mins_to_close)}min to close — no new entries."""
call_engine.py,1550,,low,pricehistory.candles.*.low,"conviction   = ""low"""
call_engine.py,1554,,close,chains.underlying.close|pricehistory.candles.*.close,"""detail"": f""≤{int(inp.mins_to_close)} min to close"","
call_engine.py,1555,,close,chains.underlying.close|pricehistory.candles.*.close,"""full_detail"": f""Only {int(inp.mins_to_close)} min to close — no new entries."","
call_engine.py,1558,,close,chains.underlying.close|pricehistory.candles.*.close,"time_warning = f""⏰ {int(inp.mins_to_close)}min to close — reduce size, quick trades only."""
call_engine.py,1631,GET_DEFAULT_ZERO,,,"_readiness_score = _rdy.get(""readiness_score"", 0)"
call_engine.py,1675,GET_DEFAULT_ZERO,,,"_put_score = _prdy.get(""readiness_score"", 0)"
chains.py,19,,last,chains.callExpDateMap.*.last|chains.putExpDateMap.*.last|chains.underlying.last,last: float | None
chains.py,20,,bid,chains.callExpDateMap.*.bid|chains.putExpDateMap.*.bid|chains.underlying.bid,bid: float | None
chains.py,21,,ask,chains.callExpDateMap.*.ask|chains.putExpDateMap.*.ask|chains.underlying.ask,ask: float | None
chains.py,22,,mark,chains.callExpDateMap.*.mark|chains.putExpDateMap.*.mark|chains.underlying.mark|quotes.extended.mark|quotes.quote.mark|streaming.content.*.MARK,mark: float | None
chains.py,34,,last|lastPrice,chains.callExpDateMap.*.last|chains.putExpDateMap.*.last|chains.underlying.last|movers.screeners.*.lastPrice|quotes.extended.lastPrice|quotes.quote.lastPrice,"last = _safe_float(q.get(""lastPrice""))"
chains.py,35,,bid|bidPrice,chains.callExpDateMap.*.bid|chains.putExpDateMap.*.bid|chains.underlying.bid|quotes.extended.bidPrice|quotes.quote.bidPrice,"bid  = _safe_float(q.get(""bidPrice""))"
chains.py,36,,ask|askPrice,chains.callExpDateMap.*.ask|chains.putExpDateMap.*.ask|chains.underlying.ask|quotes.extended.askPrice|quotes.quote.askPrice,"ask  = _safe_float(q.get(""askPrice""))"
chains.py,37,,mark,chains.callExpDateMap.*.mark|chains.putExpDateMap.*.mark|chains.underlying.mark|quotes.extended.mark|quotes.quote.mark|streaming.content.*.MARK,"mark = _safe_float(q.get(""mark""))"
chains.py,38,,ask|bid|last|mark,chains.callExpDateMap.*.ask|chains.putExpDateMap.*.ask|chains.underlying.ask|chains.callExpDateMap.*.bid|chains.putExpDateMap.*.bid|chains.underlying.bid|chains.callExpDateMap.*.last|chains.putExpDateMap.*.last|chains.underlying.last|chains.callExpDateMap.*.mark|chains.putExpDateMap.*.mark|chains.underlying.mark|quotes.extended.mark|quotes.quote.mark|streaming.content.*.MARK,"return QuoteBlock(last=last, bid=bid, ask=ask, mark=mark,"
chains.py,67,,openInterest,chains.callExpDateMap.*.openInterest|chains.putExpDateMap.*.openInterest,"""openInterest"": ct.get(""openInterest""),"
chains.py,68,,delta,chains.callExpDateMap.*.delta|chains.putExpDateMap.*.delta,"""delta"": ct.get(""delta""),"
chains.py,69,,gamma,chains.callExpDateMap.*.gamma|chains.putExpDateMap.*.gamma,"""gamma"": ct.get(""gamma""),"
chains.py,70,,theta,chains.callExpDateMap.*.theta|chains.putExpDateMap.*.theta,"""theta"": ct.get(""theta""),"
chains.py,71,,vega,chains.callExpDateMap.*.vega|chains.putExpDateMap.*.vega,"""vega"": ct.get(""vega""),"
chains.py,72,,rho,chains.callExpDateMap.*.rho|chains.putExpDateMap.*.rho,"""rho"": ct.get(""rho""),"
chains.py,73,,theoreticalVolatility,chains.callExpDateMap.*.theoreticalVolatility|chains.putExpDateMap.*.theoreticalVolatility,"""theoreticalVolatility"": ct.get(""theoreticalVolatility""),"
chains.py,75,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"""volatility"": ct.get(""volatility""),"
chains.py,76,DATE_DIFF_DTE,daysToExpiration,chains.callExpDateMap.*.daysToExpiration|chains.daysToExpiration|chains.putExpDateMap.*.daysToExpiration,"""daysToExpiration"": ct.get(""daysToExpiration""),"
chains.py,77,DATE_DIFF_DTE,expirationDate,chains.callExpDateMap.*.expirationDate|chains.putExpDateMap.*.expirationDate,"""expirationDate"": ct.get(""expirationDate""),"
chains.py,82,,multiplier,chains.callExpDateMap.*.multiplier|chains.putExpDateMap.*.multiplier,"""multiplier"": _positive_float_or_none(ct.get(""multiplier"")),"
chains.py,83,,mark,chains.callExpDateMap.*.mark|chains.putExpDateMap.*.mark|chains.underlying.mark|quotes.extended.mark|quotes.quote.mark|streaming.content.*.MARK,"""mark"": ct.get(""mark""),"
chains.py,84,,bid,chains.callExpDateMap.*.bid|chains.putExpDateMap.*.bid|chains.underlying.bid,"""bid"": ct.get(""bid""),"
chains.py,85,,ask,chains.callExpDateMap.*.ask|chains.putExpDateMap.*.ask|chains.underlying.ask,"""ask"": ct.get(""ask""),"
